,cid,pid,activity,cid_binary_weights,pid_binary_weights
76,16153077,P31391,0,0.9913006673939898,0.9951908248223409
77,44388115,P31391,0,0.9940744675599684,0.9951908248223409
78,127049049,P25025,0,0.9884335166746571,0.9646190244459381
79,136036527,P25025,0,0.9713375928643759,0.9646190244459381
80,11322291,P25025,0,0.9713027946241177,0.9646190244459381
81,2812,P25025,1,0.9749835676310188,0.9646190244459381
82,44446647,P25025,0,0.9635710704358088,0.9646190244459381
83,127050017,P25025,0,0.9874348723601694,0.9646190244459381
84,10237959,P25025,0,0.9664507214244902,0.9646190244459381
85,10478354,P25025,0,0.9794239927042799,0.9646190244459381
86,10252630,P25025,0,0.9734426990851325,0.9646190244459381
87,44455014,P25025,0,0.9737051716006886,0.9646190244459381
88,127052172,P25025,0,0.9873006050477224,0.9646190244459381
89,44447952,P25025,0,0.9753033256838268,0.9646190244459381
90,127049371,P25025,0,0.9897743102470942,0.9646190244459381
91,9978981,P25025,0,0.9788293558263705,0.9646190244459381
92,127052174,P25025,0,0.9644020222948587,0.9646190244459381
93,10411524,P25025,0,0.9780352575795634,0.9646190244459381
94,10150721,P25025,0,0.9750017940885634,0.9646190244459381
95,9928389,P25025,0,0.8900106915009681,0.9646190244459381
96,10237849,P25025,0,0.9764198249769582,0.9646190244459381
97,127050964,P25025,0,0.9670188788253598,0.9646190244459381
98,12073810,P25025,0,0.9779456040948853,0.9646190244459381
99,11599650,P25025,0,0.9856990179862667,0.9646190244459381
100,44446641,P25025,0,0.975783361399967,0.9646190244459381
101,127049422,P25025,0,0.9844286599096543,0.9646190244459381
102,10200589,P25025,0,0.9732194691618639,0.9646190244459381
103,25110787,P25025,0,0.9752839759152153,0.9646190244459381
104,10310100,P25025,0,0.9140994114923345,0.9646190244459381
105,44440865,P25025,0,0.9765345512299515,0.9646190244459381
106,136036532,P25025,0,0.9786984563795663,0.9646190244459381
107,127049431,P25025,0,0.9796652415493908,0.9646190244459381
108,127049370,P25025,0,0.9880328203943146,0.9646190244459381
109,127050016,P25025,0,0.9876668562659825,0.9646190244459381
110,127049432,P25025,0,0.983705467720168,0.9646190244459381
111,10134701,P25025,0,0.9538767735997565,0.9646190244459381
112,10003645,P25025,0,0.9764489505465831,0.9646190244459381
113,9865554,P25025,0,0.974358746409754,0.9646190244459381
114,127051212,P25025,0,0.9978127679184678,0.9646190244459381
115,44565052,P25025,0,0.9711054244156038,0.9646190244459381
116,44454985,P25025,0,0.9773654778530676,0.9646190244459381
117,44249793,P25025,0,0.9693974607677215,0.9646190244459381
118,127052173,P25025,0,0.989897339614752,0.9646190244459381
119,127048710,P25025,0,0.9878781236562514,0.9646190244459381
120,44446650,P25025,0,0.9794085632113374,0.9646190244459381
121,11858154,P25025,0,0.9739055177967842,0.9646190244459381
122,44419480,P25025,0,0.9649345064364051,0.9646190244459381
123,44447968,P25025,0,0.9781159960007937,0.9646190244459381
124,58180205,P25025,0,0.9510094275972311,0.9646190244459381
125,122187268,P25025,0,0.9856994768849761,0.9646190244459381
126,10479451,P25025,0,0.9768658532806659,0.9646190244459381
127,44447946,P25025,0,0.9843152166046538,0.9646190244459381
128,11754699,P25025,0,0.999330532329378,0.9646190244459381
129,44447608,P25025,0,0.9736608326854486,0.9646190244459381
130,23519852,P25025,0,0.9744639826347626,0.9646190244459381
131,44447960,P25025,0,0.974106463200747,0.9646190244459381
132,9887803,P25025,0,0.9468416699615388,0.9646190244459381
133,136036528,P25025,0,0.9775880365550773,0.9646190244459381
134,127049428,P25025,0,0.9885671842948927,0.9646190244459381
135,10150526,P25025,0,0.9710705414587613,0.9646190244459381
136,44447967,P25025,0,0.9700244747794327,0.9646190244459381
