p,k,sum_of_weights^p,p@k,weighted_p@k
25,461,107.54852573246993,0.7527114967462039,0.7232189087520758
25,471,110.92148698109114,0.7515923566878981,0.7272312234293867
25,481,113.86654544707197,0.7505197505197505,0.7296284386087022
25,491,116.37721737674744,0.7494908350305499,0.7283430486410897
25,501,117.38190073878309,0.7465069860279441,0.7212218410265566
25,511,118.7374221429728,0.7416829745596869,0.7138471462439455
25,521,120.3985066071898,0.7389635316698656,0.7128409556384375
25,531,123.68993808764961,0.7382297551789078,0.7156980654593201
25,541,125.75540407043121,0.7393715341959335,0.7163083208298042
25,551,127.49935310585917,0.73502722323049,0.7125116110441428
25,561,130.28635044061107,0.732620320855615,0.7113614459041901
25,571,132.67175435217564,0.7320490367775832,0.7099787825668221
25,581,133.83112434318514,0.7263339070567987,0.7058720371212812
25,591,136.1928246967861,0.727580372250423,0.7081328527263455
25,601,138.37565831509036,0.7237936772046589,0.70830807209038
25,611,141.27469734230982,0.723404255319149,0.7076420109333467
25,621,144.2016268175242,0.7214170692431562,0.7070075972663181
25,631,146.01929398626916,0.7179080824088748,0.7028642656241868
25,641,148.2039863699195,0.717628705148206,0.703603950839151
25,651,150.58185842724515,0.7142857142857143,0.6988798039324303
25,661,152.85262875321752,0.7125567322239031,0.6975115521927697
25,671,156.76353798827842,0.7123695976154992,0.6992830476366436
25,681,160.0315740665127,0.7136563876651982,0.7015916125184886
25,691,160.96283596356972,0.7091172214182344,0.6951253520999118
25,701,161.89296536462166,0.7047075606276747,0.6911822712550367
25,711,163.64941144551304,0.7032348804500703,0.69048308386346
25,721,166.76283454876096,0.7031900138696255,0.690454342710302
25,731,167.74178796586796,0.7017783857729138,0.6880200830054035
25,741,170.85609286983635,0.7044534412955465,0.6909319429722609
25,751,173.53502354485784,0.7030625832223701,0.6899857852383471
25,761,174.91698024846673,0.7003942181340341,0.6871927401621987
25,771,176.58911866118444,0.7003891050583657,0.6868248038060044
25,781,179.13698193094288,0.6978233034571063,0.6847454404005568
25,791,182.189777760289,0.6978508217446271,0.6867553670555141
25,801,183.1083405335462,0.6941323345817728,0.6865073181890177
25,811,183.62379773798708,0.689272503082614,0.6817619854252094
